observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
273,HC7_TP297_12000_35_H ,H,12000,35,25,32.441858,25.202541,30.31084,0.954499,0.531188259,7.239,1.87E-05,1.454,0.996,0.436,0.343,170,98.7,2.82,3.852448814,5.132804897,,7.214970622,8.515149148,9.91850719,4.24633,3.507263,,2.651539,2.454538,2.625182,0.016233,0.016577,,0.015125,0.014719,0.014734,-0.005106,-0.002649,,-0.001482,-0.001111,-0.000959
274,HC7_TP298_12000_65_V ,V,12000,65,50,64.385021,50.455779,28.754074,1.652924,0.263714177,13.929,1.92E-05,1.508,1,0.431,0.343,170,98.7,2.82,5.415755044,7.105963799,,10.44718587,12.7635778,15.27495279,6.650475,5.484265,,3.622928,2.941467,2.737878,0.031031,0.030343,,0.028257,0.027101,0.026494,-0.011065,-0.006054,,-0.003015,-0.001577,-0.000222
275,HC7_TP299_12000_65_H ,H,12000,65,50,63.961021,50.36626,29.238008,1.627858,0.261394697,13.595,1.92E-05,1.507,1,0.431,0.343,170,98.7,2.82,5.570786235,7.613407514,,10.79145302,12.795665,15.11961827,7.104606,5.630394,,4.012406,3.561265,3.624035,0.029541,0.02974,,0.027619,0.027095,0.027166,-0.008384,-0.004816,,-0.00244,-0.001718,-0.001469
276,HC7_TP300_12000_130_V ,V,12000,130,100,130.177336,100.983912,26.107936,3.267074,0.143225942,29.193,2.08E-05,1.608,1.029,0.419,0.342,170,98.7,2.82,11.12176335,14.58873753,,21.96019298,26.43906597,31.28307877,13.565838,10.735655,,7.266873,6.252395,5.576836,0.062137,0.060637,,0.05598,0.053747,0.051629,-0.023615,-0.012073,,-0.005582,-0.002536,0.000269
277,HC7_TP301_12000_130_H ,H,12000,130,100,129.517445,100.70367,24.306686,3.254127,0.144487667,28.814,2.07E-05,1.61,1.027,0.419,0.342,170,98.7,2.82,11.39843208,16.19356126,,23.80928216,28.48663158,34.12817325,14.433751,11.124571,,7.005064,6.187408,5.689848,0.062117,0.061627,,0.056269,0.054978,0.053755,-0.016882,-0.010945,,-0.005583,-0.00389,-0.003067
278,HC7_TP302_14000_65_V ,V,14000,65,15,65.128869,16.314717,19.51966,2.301937,0.12777,48.814,1.89E-05,1.519,0.996,0.404,0.342,170,98.7,2.82,16.55303919,20.66695144,,27.21998024,30.60155586,34.37573607,8.949361,7.116836,,5.099657,4.319455,4.065354,0.033418,0.029605,,0.023495,0.020975,0.019075,-0.016983,-0.01009,,-0.00564,-0.004262,-0.003082
279,HC7_TP303_14000_65_H ,H,14000,65,15,64.986033,16.570631,21.689915,2.2894,0.155811,48.415,1.90E-05,1.516,0.997,0.404,0.342,170,98.7,2.82,16.92113929,21.22952618,,27.66381408,31.06111484,35.04395014,10.103574,7.840164,,5.600094,5.07048,4.735716,0.031023,0.02886,,0.022807,0.021007,0.019639,-0.013657,-0.008361,,-0.004895,-0.004247,-0.003822
282,HC7_TP306_14000_65_V ,V,14000,65,50,65.667304,50.685245,25.082616,1.659762,0.021815892,14.982,1.91E-05,1.514,0.999,0.43,0.343,170,98.7,2.82,5.30875503,7.111985561,,10.48988112,12.83165118,15.12940795,6.628331,5.289223,,3.29741,2.356786,1.819613,0.031171,0.030722,,0.028387,0.027189,0.026448,-0.01136,-0.006649,,-0.003399,-0.002059,-0.000749
283,HC7_TP307_14000_65_H ,H,14000,65,50,65.321454,50.668583,23.834368,1.641435,0.0671,14.653,1.91E-05,1.514,0.998,0.43,0.343,170,98.7,2.82,5.677602187,7.821149858,,10.90011586,12.8829391,15.18638297,7.14793,5.477632,,3.519046,2.858836,2.82705,0.030279,0.03001,,0.027813,0.027239,0.027297,-0.009014,-0.005606,,-0.002802,-0.001998,-0.001377
284,HC7_TP308_14000_35_V ,V,14000,35,25,35.108697,25.308275,33.310482,0.948792,0.082607385,9.8,1.89E-05,1.457,0.997,0.434,0.343,170,98.7,2.82,3.184530646,4.367839009,,6.623878322,7.902309484,9.490189839,3.787911,3.105034,,2.111886,1.636414,1.555452,0.017222,0.016065,,0.014639,0.013858,0.013391,-0.006708,-0.003933,,-0.002285,-0.001472,-0.0009
