observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
136,HC4_TP156_10000_100_V ,V,10000,100,35,66.982638,38.804904,2.198269,2.191612,-1.066978,28.178,1.84E-05,1.544,0.986,0.421,0.334,170,65,2.79,12.80568562,13.01749679,13.35077121,13.67587333,14.74231171,,-8.388229,-8.021228,-8.063597,-8.191964,-8.805507,,0.013303,0.015194,0.015148,0.015091,0.01529,,0.003209,0.000682,-0.000038,-0.000575,-0.001211,
137,HC4_TP157_10000_100_H ,H,10000,100,35,66.899232,38.754896,2.379178,2.191185,-1.058591,28.144,1.84E-05,1.544,0.986,0.421,0.334,170,65,2.79,12.28265397,12.51516186,12.83386694,13.22722437,14.19864941,,-8.495133,-8.15594,-8.124118,-8.315103,-8.639589,,0.013271,0.01508,0.014961,0.015307,0.015719,,0.000885,-0.000175,-0.000739,-0.001035,-0.00129,
138,HC4_TP158_10000_100_V ,V,10000,100,15,61.329126,14.254959,-0.208806,2.305895,-1.225824,47.074,1.82E-05,1.535,0.984,0.412,0.337,170,65,2.79,19.32667542,20.18632884,21.02476401,22.12128209,24.00150026,,-10.743897,-10.131671,-9.758353,-9.693859,-10.06263,,0.011691,0.013016,0.012647,0.012368,0.012328,,0.006974,0.004127,0.003163,0.002258,0.001405,
139,HC4_TP159_10000_100_H ,H,10000,100,15,61.909352,14.286146,-4.195364,2.321535,-1.190535,47.623,1.80E-05,1.543,0.982,0.412,0.337,170,65,2.79,19.30687337,20.10662825,21.02708498,22.26568652,24.29242561,,-10.751505,-10.167429,-9.752292,-9.526102,-9.708871,,0.010503,0.012677,0.012616,0.012557,0.012775,,0.004187,0.003164,0.002359,0.001578,0.001056,
140,HC4_TP160_10000_100_V R,V,10000,100,50,72.036404,50.785328,2.237777,2.08532,-0.943067,21.251,1.85E-05,1.555,0.987,0.424,0.332,170,65,2.79,9.189760981,9.316326545,9.335994368,9.358571236,9.750028097,,-7.661807,-7.020009,-7.023865,-7.3471,-8.10999,,0.016716,0.017012,0.016497,0.016835,0.017295,,0.001644,-0.000182,-0.000855,-0.001593,-0.002248,
141,HC4_TP161_10000_100_H R,H,10000,100,50,72.036054,50.698973,0.049163,2.085772,-0.931204,21.337,1.85E-05,1.558,0.986,0.424,0.332,170,65,2.79,8.718234286,8.879188189,9.058899588,9.142958311,9.311592526,,-7.804806,-7.317882,-7.353547,-7.505307,-7.870955,,0.016815,0.016931,0.016781,0.017173,0.017518,,0.001846,-0.000717,-0.001285,-0.001645,-0.00183,
142,HC4_TP162_10000_50_V R,V,10000,50,25,36.267737,25.743356,2.299211,1.059737,-0.930998,10.524,1.78E-05,1.478,0.987,0.428,0.331,170,65,2.79,4.72378621,4.707528934,4.714556858,4.754850106,5.050194831,,-3.70058,-3.445778,-3.432831,-3.556505,-4.051685,,0.008307,0.008004,0.007916,0.008057,0.008198,,0.001081,0.000047,-0.000342,-0.000713,-0.000783,
143,HC4_TP163_10000_50_H R,H,10000,50,25,36.17787,25.711397,3.032489,1.054435,-0.939367,10.466,1.78E-05,1.477,0.988,0.428,0.331,170,65,2.79,4.495047888,4.580558021,4.645176921,4.597811713,4.683441808,,-3.798596,-3.570382,-3.571757,-3.689645,-3.841806,,0.007762,0.007908,0.007939,0.008164,0.008403,,0.001103,-0.000154,-0.000563,-0.000701,-0.000804,
144,HC5_TP164_10000_65_V ,V,10000,65,20,64.595177,22.824668,15.229358,3.680948,0.255683,41.771,1.88E-05,1.523,0.994,0.504,0.318,219.775,65,1.945,35.63379488,36.62924599,37.98061316,39.7034053,42.38756075,,8.691795,8.383557,7.639348,7.16053,6.5383,,0.026181,0.02775,0.027024,0.026391,0.025698,,-0.006927,-0.006551,-0.006204,-0.005808,-0.005376,
145,HC5_TP165_10000_65_H ,H,10000,65,20,64.799517,23.304222,19.433854,3.753755,0.262406,41.495,1.89E-05,1.518,0.996,0.504,0.318,219.775,65,1.945,34.46496318,35.18937701,36.60389919,38.43365155,41.16673198,,9.292547,9.126823,8.740182,8.453062,8.634736,,0.024036,0.026939,0.026818,0.026836,0.027244,,0.00214,-0.001136,-0.002321,-0.003199,-0.004661,
146,HC5_TP166_10000_35_V ,V,10000,35,25,34.734164,26.559947,21.106979,1.504073,0.20981,8.174,1.84E-05,1.463,0.994,0.523,0.321,219.775,65,1.945,8.890046603,8.981921327,8.973540906,9.056494498,9.2060285,,2.747715,2.605625,2.476924,2.370137,2.42778,,0.010377,0.010769,0.010751,0.010851,0.011074,,-0.001704,-0.001416,-0.001313,-0.001243,-0.001124,
147,HC5_TP167_10000_35_H ,H,10000,35,25,34.934424,26.399732,16.115833,1.521942,0.207501,8.535,1.82E-05,1.466,0.992,0.523,0.321,219.775,65,1.945,9.237090792,9.475180882,9.516578603,9.503414092,9.630792472,,3.097405,2.949548,2.838233,2.849646,3.174007,,0.010829,0.011177,0.011061,0.011264,0.011586,,0.000805,-0.000424,-0.000593,-0.000848,-0.001112,
148,HC5_TP168_10000_85_V ,V,10000,85,75,87.620365,75.152833,20.155326,2.965954,0.172847,12.468,1.94E-05,1.556,1.003,0.521,0.321,219.775,65,1.945,13.62378187,13.14258081,13.06684658,11.84016665,10.66883268,,4.05952,4.533214,4.386508,4.196854,3.600402,,0.022101,0.023683,0.023589,0.023278,0.023461,,0.00124,0.000193,-0.000608,-0.000333,-0.000233,
149,HC5_TP169_10000_85_H ,H,10000,85,75,87.584854,75.209576,19.459013,2.95317,0.170655,12.375,1.94E-05,1.557,1.002,0.521,0.321,219.775,65,1.945,13.63933114,13.12799786,12.57886292,11.13809709,9.371518259,,4.671832,4.558401,4.418778,4.671477,5.88741,,0.022523,0.023032,0.022805,0.023324,0.024347,,0.004694,0.001764,0.001269,0.001076,0.000345,
150,HC5_TP170_10000_65_V ,V,10000,65,50,66.130042,50.394768,17.345573,2.793412,0.204204,15.735,1.89E-05,1.523,0.995,0.519,0.321,219.775,65,1.945,16.77470951,16.91761869,16.83049893,16.4696742,16.39881575,,5.248371,5.019945,4.521166,4.240512,4.11011,,0.021389,0.02169,0.02106,0.021088,0.021381,,-0.002928,-0.002354,-0.002164,-0.001658,-0.001301,
151,HC5_TP171_10000_65_H ,H,10000,65,50,67.12339,50.964397,17.865469,2.86496,0.205445,16.159,1.89E-05,1.524,0.995,0.519,0.321,219.775,65,1.945,17.16245768,17.29200444,17.07179299,16.76121051,16.5527774,,5.672258,5.350514,5.029273,4.976973,5.738806,,0.02099,0.021636,0.021363,0.021767,0.022757,,0.001429,-0.000499,-0.000561,-0.000812,-0.001496,
152,HC5_TP172_10000_130_V ,V,10000,130,100,128.912794,100.366618,20.943206,5.288159,0.195915,28.546,2.07E-05,1.616,1.025,0.512,0.32,219.775,65,1.945,30.62884685,30.57684752,30.64445717,30.44499255,30.32200207,,9.289019,8.841149,8.541906,7.475142,6.777028,,0.040553,0.040826,0.040357,0.03938,0.039548,,-0.005743,-0.003672,-0.003644,-0.0031,-0.002378,
153,HC5_TP173_10000_130_H ,H,10000,130,100,129.341621,99.968297,20.209147,5.343871,0.195172,29.373,2.07E-05,1.618,1.024,0.511,0.319,219.775,65,1.945,31.09639965,31.06400425,30.99062385,30.36509675,30.08277961,,9.612145,8.795633,8.100664,8.036665,9.07311,,0.03762,0.039617,0.038812,0.039807,0.041211,,0.003469,0.000535,-0.000272,-0.00084,-0.002141,
154,HC5_TP174_10000_195_V ,V,10000,195,150,197.01772,150.007391,14.908437,7.962763,0.178654,47.01,2.34E-05,1.707,1.075,0.501,0.318,219.775,65,1.945,51.06939822,51.32151522,51.65410792,50.92691624,50.61041671,,13.948756,12.825759,11.717737,10.684359,10.252525,,0.061362,0.063261,0.060614,0.058903,0.058516,,-0.010787,-0.006582,-0.006217,-0.004456,-0.002975,
155,HC5_TP175_10000_195_H ,H,10000,195,150,198.712691,150.611091,20.85725,8.255239,0.193669,48.102,2.34E-05,1.693,1.081,0.5,0.318,219.775,65,1.945,49.37326468,49.1921546,49.59775244,49.72829468,49.99574168,,13.966304,12.364585,11.365193,10.850862,10.861817,,0.050084,0.057582,0.05731,0.05822,0.059593,,0.004477,0.001889,0.000748,-0.000667,-0.002877,
156,HC5_TP176_10000_50_V ,V,10000,50,25,50.453897,24.255106,13.553383,2.835422,0.23995,26.199,1.84E-05,1.498,0.991,0.513,0.32,219.775,65,1.945,23.86628953,24.01304115,24.55464224,25.48511303,27.23750096,,-3.372107,-3.550851,-3.764443,-3.823398,-3.592129,,0.01755,0.020024,0.020193,0.0201,0.020142,,0.000994,0.000554,0.00111,0.001406,0.001483,
157,HC5_TP177_10000_50_H ,H,10000,50,25,50.324214,24.292938,14.001493,2.828193,0.240593,26.031,1.85E-05,1.497,0.991,0.513,0.32,219.775,65,1.945,22.60944193,23.00147685,23.86578829,24.79897183,26.26634497,,-4.30877,-4.328378,-4.505967,-4.612851,-5.254705,,0.017397,0.019742,0.020046,0.020076,0.020606,,-0.003803,-0.001716,-0.000451,0.000669,0.001958,
158,HC5_TP178_10000_50_V ,V,10000,50,25,50.762008,25.533452,27.619203,2.858545,0.270717,25.229,1.90E-05,1.487,0.997,0.513,0.32,219.775,65,1.945,22.15910566,-6.676717151,22.73862701,23.72450242,24.72110945,,-3.437842,-4.891632,-3.96393,0.817196,-4.288214,,0.017202,-0.002792,0.019442,0.001093,0.019406,,0.000734,-0.010733,0.000998,-0.012014,0.001616,
159,HC5_TP179_10000_50_H ,H,10000,50,25,50.5925695,25.44034459,26.09969703,2.9168175,0.265635875,25.152,1.89E-05,1.487,0.996,0.514,0.32,219.775,65,1.945,21.49514412,12.93459091,22.54111938,23.73270674,24.89426111,,-4.826918,6.688322,-5.233931,-0.015858,-5.919261,,0.01718,0.032814,0.019998,-0.009597,0.020526,,-0.00465,-0.034783,-0.001102,-0.032978,0.001072,
160,HC5_TP180_10000_65_V ,V,10000,65,20,64.987764,22.953331,9.301406,3.665315,0.236606,42.034,1.86E-05,1.53,0.99,0.504,0.318,219.775,65,1.945,32.3993414,33.25418144,34.70844979,36.68983457,39.58440716,,-3.842774,-3.917932,-4.103942,-3.814183,-3.346254,,0.02529,0.028825,0.028234,0.027158,0.026523,,0.00094,0.001889,0.002293,0.002537,0.002253,
161,HC5_TP181_10000_65_H ,H,10000,65,20,64.758283,23.056156,11.857812,3.699433,0.241319,41.702,1.87E-05,1.527,0.992,0.504,0.318,219.775,65,1.945,30.77405389,31.98698908,33.70343182,35.57544407,38.25371297,,-5.222895,-5.031239,-5.163718,-5.279781,-5.73906,,0.026403,0.028266,0.027859,0.027448,0.027386,,-0.006677,-0.001998,-0.001085,0.000186,0.00171,
162,HC5_TP182_10000_75_V ,V,10000,75,25,73.287072,26.230454,6.349136,4.178767,0.223335,47.057,1.87E-05,1.551,0.99,0.501,0.318,219.775,65,1.945,36.00280949,36.86129986,38.21736812,39.99219997,42.63572982,,-4.36997,-4.373383,-4.595405,-4.427469,-4.280527,,0.028592,0.032254,0.031907,0.031009,0.030554,,0.002142,0.001958,0.002276,0.002402,0.002002,
163,HC5_TP183_10000_75_H ,H,10000,75,25,74.165365,26.615028,10.040625,4.243797,0.232209,47.55,1.88E-05,1.547,0.993,0.501,0.318,219.775,65,1.945,34.52937078,35.79064686,37.37619036,39.3345092,42.20676226,,-5.555856,-5.221642,-5.244089,-5.384077,-5.866308,,0.029889,0.032122,0.031708,0.031471,0.031463,,-0.005728,-0.001784,-0.001015,0.000214,0.001943,
164,HC5_TP184_10000_75_V ,V,10000,75,55,75.615172,57.92005,8.101615,3.229782,0.175155,17.695,1.88E-05,1.553,0.992,0.518,0.32,219.775,65,1.945,19.43826895,19.4906982,19.5569632,19.06345393,18.57963695,,-2.474556,-2.323192,-2.533696,-2.470632,-2.403927,,0.024599,0.025758,0.025121,0.024834,0.025,,0.000227,0.001609,0.001477,0.001811,0.001473,
165,HC5_TP185_10000_75_H ,H,10000,75,55,75.382061,57.895652,10.192813,3.214816,0.180417,17.486,1.89E-05,1.549,0.993,0.518,0.321,219.775,65,1.945,19.15454974,19.04843648,18.9369259,18.48306197,17.8670191,,-2.478798,-2.412386,-2.688942,-3.010564,-4.273376,,0.024254,0.024739,0.024398,0.024418,0.025378,,-0.004232,-0.001207,-0.000205,0.000314,0.001356,
166,HC5_TP186_10000_100_V ,V,10000,100,45,101.109265,47.796658,8.429633,5.591353,0.22083,53.313,1.96E-05,1.599,1,0.497,0.317,219.775,65,1.945,46.18114065,46.31650755,47.14809993,48.30358226,50.52297653,,-5.761143,-5.846625,-5.746012,-5.631617,-5.051489,,0.034959,0.039132,0.03846,0.037924,0.037515,,0.003438,0.003056,0.003586,0.003351,0.003064,
167,HC5_TP187_10000_100_H ,H,10000,100,45,98.823429,47.903475,17.258779,5.528155,0.239082,50.92,1.97E-05,1.579,1.006,0.499,0.318,219.775,65,1.945,41.28453789,41.48876861,42.91583327,44.45618974,46.99852505,,-8.147253,-7.928325,-7.822937,-7.662884,-8.135397,,0.032156,0.037191,0.037378,0.037157,0.037016,,-0.006921,-0.002292,-0.000188,0.001507,0.003562,
168,HC5_TP188_10000_150_V ,V,10000,150,50,149.773623,53.285962,15.114637,8.192853,0.23372,96.488,2.15E-05,1.656,1.035,0.473,0.314,219.775,65,1.945,63.58847835,64.92481008,67.3404749,70.72517727,75.02573145,,-9.65602,-9.517501,-9.598372,-9.133719,-8.639874,,0.054356,0.060901,0.059067,0.057594,0.05627,,0.005867,0.005471,0.005841,0.005695,0.005319,
169,HC5_TP189_10000_150_H ,H,10000,150,50,152.384853,53.485246,8.934712,8.351858,0.223808,98.9,2.16E-05,1.675,1.032,0.471,0.314,219.775,65,1.945,63.1905321,64.90640566,67.89483975,71.90477627,77.14733538,,-10.556232,-9.286258,-8.611793,-7.637662,-7.093494,,0.051379,0.059387,0.058966,0.058811,0.05927,,-0.012058,-0.003682,-0.00172,0.000166,0.00224,
170,HC5_TP190_10000_150_V ,V,10000,150,115,150.631061,115.060884,15.716141,6.359683,0.183163,35.57,2.16E-05,1.656,1.036,0.508,0.319,219.775,65,1.945,39.93626165,40.13912773,39.92774419,39.33347097,37.82209391,,-4.950208,-4.023989,-3.715811,-2.97175,-2.919247,,0.050912,0.04822,0.046949,0.04567,0.045743,,0.004651,0.006379,0.005565,0.005324,0.004733,
171,HC5_TP191_10000_150_H ,H,10000,150,115,150.613964,115.153712,15.406569,6.350796,0.181683,35.46,2.16E-05,1.656,1.036,0.508,0.319,219.775,65,1.945,38.52065658,38.69786914,38.26743801,37.82110988,36.78712466,,-5.065457,-4.298063,-4.4903,-4.970782,-6.009259,,0.047204,0.045697,0.045217,0.045711,0.047492,,-0.005783,-0.00177,-0.000656,0.000878,0.003049,
172,HC5_TP192_10000_200_V ,V,10000,200,90,195.908488,92.350271,17.955386,9.17839,0.236755,103.558,2.34E-05,1.698,1.076,0.468,0.313,219.775,65,1.945,74.0776564,74.03886153,76.33249691,79.8018919,83.9742663,,-15.013616,-13.805268,-13.584676,-12.400529,-11.269778,,0.052782,0.065369,0.066105,0.066591,0.067076,,-0.013989,-0.005279,-0.001538,0.001698,0.00537,
173,HC5_TP193_10000_200_H ,H,10000,200,90,200.431496,94.1747,19.652218,9.236521,0.238697,106.257,2.35E-05,1.697,1.082,0.467,0.313,219.775,65,1.945,75.73395663,75.49222277,77.18525306,79.25295553,81.60794347,,-11.652655,-12.06901,-12.180837,-12.186169,-11.504383,,0.062658,0.070663,0.068378,0.067417,0.065519,,0.008076,0.006048,0.006666,0.007179,0.006504,
174,HC5_TP194_10000_225_V ,V,10000,225,160,225.99857,169.686743,21.712051,9.429723,0.191228,56.312,2.45E-05,1.713,1.108,0.496,0.317,219.775,65,1.945,59.80026776,59.8134289,60.00774389,58.33785934,57.25648267,,-6.36157,-6.638734,-5.867624,-5.37292,-4.897512,,0.069002,0.069528,0.065693,0.063851,0.062524,,0.005323,0.008136,0.008189,0.007248,0.006246,
175,HC5_TP195_10000_225_H ,H,10000,225,160,225.819237,169.976538,21.707058,9.460376,0.193701,55.843,2.45E-05,1.713,1.108,0.496,0.317,219.775,65,1.945,58.88105421,57.84259294,57.81122491,56.81221768,55.96349817,,-7.290782,-5.987326,-5.333937,-4.51934,-4.808832,,0.055257,0.062073,0.060598,0.061092,0.062428,,-0.012127,-0.00085,0.000828,0.003271,0.00587,
176,HC5_TP196_10000_35_V ,V,10000,35,25,36.589387,27.696861,5.258086,1.578075,0.185552,8.893,1.79E-05,1.476,0.988,0.523,0.321,219.775,65,1.945,9.708481346,9.726104755,9.802453468,9.567085981,9.369586912,,-1.020507,-0.958399,-1.20876,-1.214052,-1.146667,,0.011707,0.011993,0.011677,0.011692,0.01195,,-0.000125,0.000335,0.00017,0.000397,0.000146,
177,HC5_TP197_10000_35_H ,H,10000,35,25,35.059094,26.992633,18.955573,1.48825,0.209663,8.066,1.83E-05,1.465,0.993,0.523,0.321,219.775,65,1.945,8.25965186,8.348818919,8.50805673,8.493418385,8.6712073,,-1.261929,-1.243177,-1.486037,-1.646052,-1.980855,,0.010364,0.010288,0.01035,0.010441,0.010592,,-0.003055,-0.001075,-0.000677,-0.000308,0.000057,
178,HC5_TP198_10000_65_V ,V,10000,65,50,66.766274,52.715315,21.094195,2.880637,0.184171,14.051,1.90E-05,1.52,0.997,0.52,0.321,219.775,65,1.945,15.69822855,15.7469714,15.61574726,15.12922495,14.85821087,,-2.359086,-2.320374,-2.342362,-2.43293,-2.490175,,0.020059,0.020906,0.020772,0.020599,0.020944,,-0.000509,0.001073,0.001076,0.001271,0.001222,
179,HC5_TP199_10000_65_H ,H,10000,65,50,65.555475,53.685212,31.157737,2.759765,0.205539,11.87,1.93E-05,1.508,1.001,0.521,0.321,219.775,65,1.945,14.0762156,13.79711124,13.65501118,13.03666618,12.33207112,,-2.651659,-2.687957,-2.91495,-3.195352,-3.94634,,0.01964,0.019215,0.019487,0.019679,0.02039,,-0.004399,-0.001326,-0.000543,0.000239,0.000737,
180,HC5_TP200_10000_130_V ,V,10000,130,100,134.389025,101.09965,10.028143,5.653725,0.181663,33.289,2.08E-05,1.648,1.02,0.509,0.319,219.775,65,1.945,36.27218269,36.28969888,36.40637075,35.84947144,35.00605006,,-3.988811,-3.466372,-2.882082,-2.530941,-1.752917,,0.046263,0.044771,0.043343,0.041967,0.041424,,0.003974,0.005619,0.004975,0.004587,0.00401,
181,HC5_TP201_10000_130_H ,H,10000,130,100,128.042026,99.441684,14.352439,5.259518,0.18603,28.6,2.06E-05,1.629,1.019,0.512,0.32,219.775,65,1.945,30.77405879,30.75478991,30.53535144,29.81387334,28.98263647,,-3.958177,-3.653596,-3.676014,-4.236796,-5.52672,,0.039416,0.038847,0.038487,0.038939,0.040386,,-0.006393,-0.001321,-0.000362,0.001049,0.002781,
182,HC5_TP202_12000_35_V ,V,12000,35,25,35.012741,26.190006,25.043703,1.478792,0.195198,8.823,1.86E-05,1.461,0.995,0.523,0.321,219.775,65,1.945,8.859438667,9.252765983,,9.286178862,9.458872793,9.833694946,3.006312,2.868629,,2.603437,2.545408,2.660943,0.009098,0.010585,,0.013417,0.012583,0.012892,-0.001909,-0.00159,,-0.001432,-0.001162,-0.001149
183,HC5_TP203_12000_35_H ,H,12000,35,25,34.933907,26.130367,24.047804,1.464706,0.191367,8.804,1.85E-05,1.462,0.995,0.523,0.321,219.775,65,1.945,8.813097328,9.174593816,,9.161961802,9.153394274,8.9977798,3.309105,3.044165,,2.934752,3.168586,4.113719,0.010952,0.010764,,0.013939,0.013419,0.013952,0.001132,-0.000717,,-0.001165,-0.001578,-0.002138
184,HC5_TP204_12000_65_V ,V,12000,65,50,67.324236,50.83532,23.112119,2.798719,0.174999,16.489,1.91E-05,1.519,0.998,0.519,0.321,219.775,65,1.945,17.05000377,17.6399907,,17.38066735,17.12930252,16.98352306,5.864523,5.460862,,4.738565,4.476536,4.994932,0.019689,0.021675,,0.026925,0.025329,0.026355,-0.002976,-0.002958,,-0.002694,-0.001722,-0.001287
185,HC5_TP205_12000_65_H ,H,12000,65,50,67.461281,50.793175,21.259021,2.802346,0.173408,16.668,1.90E-05,1.521,0.997,0.518,0.321,219.775,65,1.945,17.07659594,17.5484703,,16.95190372,16.4802049,15.69908742,6.394738,5.626465,,5.197385,5.811589,7.512468,0.021678,0.02147,,0.027741,0.027108,0.028429,0.000999,-0.000866,,-0.000875,-0.001596,-0.002588
186,HC5_TP206_12000_130_V ,V,12000,130,100,129.295162,99.970148,22.067777,5.124858,0.157652,29.325,2.07E-05,1.614,1.026,0.511,0.319,219.775,65,1.945,30.65305855,31.48070763,,31.35502541,30.24903461,29.06319189,10.253694,9.689505,,7.697687,6.661201,6.927618,0.039862,0.041832,,0.050199,0.046831,0.046574,-0.005812,-0.005072,,-0.00548,-0.003364,-0.00212
187,HC5_TP207_12000_130_H ,H,12000,130,100,129.273066,100.028299,20.362963,5.077119,0.154827,29.245,2.07E-05,1.618,1.025,0.511,0.32,219.775,65,1.945,30.54226125,30.88093858,,29.69557721,28.77248129,27.24293569,10.835111,9.342107,,8.244203,9.049091,11.261197,0.039136,0.039473,,0.050729,0.049405,0.050656,0.002939,-0.000596,,-0.000385,-0.001494,-0.003241
188,HC5_TP208_14000_200_V ,V,14000,200,90,203.9926,90.427725,26.146797,9.192592,0.169429,113.565,2.35E-05,1.684,1.089,0.463,0.312,219.775,65,1.945,93.38314901,94.82904231,,99.76078835,103.2223105,107.7918571,20.354447,19.208054,,15.76861,14.604501,14.021094,0.063987,0.076105,,0.071005,0.067334,0.064382,-0.011526,-0.017514,,-0.014281,-0.012498,-0.010508
189,HC5_TP209_14000_200_H ,H,14000,200,90,202.018336,87.721561,21.010199,9.167804,0.156637,114.297,2.35E-05,1.695,1.084,0.462,0.312,219.775,65,1.945,91.74113968,94.04847346,,101.8756241,106.1623779,113.6204763,24.79367,22.364488,,15.38166,13.304604,11.835526,0.056917,0.069152,,0.067991,0.06715,0.066463,0.013452,0.000568,,-0.00096,-0.002775,-0.00589
190,HC5_TP210_14000_150_V ,V,14000,150,115,152.743256,114.873416,20.85977,5.850634,0.133437,37.87,2.16E-05,1.646,1.041,0.506,0.319,219.775,65,1.945,39.42415338,40.61558948,,40.42122233,39.72627899,40.42858882,13.674118,12.818316,,9.934863,9.13158,8.135785,0.051378,0.051522,,0.048132,0.047381,0.047149,-0.008611,-0.008209,,-0.005494,-0.004026,-0.003213
191,HC5_TP211_14000_150_H ,H,14000,150,115,152.934911,115.11635,22.407221,5.86075,0.136603,37.819,2.16E-05,1.643,1.043,0.506,0.319,219.775,65,1.945,39.0111864,39.92502303,,39.38664696,39.29260278,39.20055127,14.93725,12.552148,,10.822161,11.475014,13.93488,0.048035,0.048011,,0.048462,0.049412,0.051855,-0.000954,-0.001985,,-0.00031,-0.00114,-0.003185
192,HC5_TP212_14000_75_V ,V,14000,75,50,76.93334,57.253505,20.584531,3.132281,0.14415,19.68,1.92E-05,1.538,0.999,0.517,0.32,219.775,65,1.945,20.80165436,21.29412943,,21.47041718,21.56529077,21.28422551,7.429295,6.797142,,5.918509,5.393128,5.600187,0.025229,0.025714,,0.025101,0.024704,0.025766,-0.004531,-0.00393,,-0.002955,-0.00233,-0.001908
193,HC5_TP213_14000_75_H ,H,14000,75,50,76.720292,57.691897,24.269813,3.072917,0.151453,19.028,1.93E-05,1.533,1.001,0.517,0.32,219.775,65,1.945,19.98859286,20.23157831,,19.90895476,19.8761438,19.25190565,7.754043,7.13739,,6.539019,7.182925,8.700695,0.024497,0.024836,,0.024988,0.025661,0.027296,0.001005,-0.000925,,-0.000719,-0.001408,-0.002242
194,HC5_TP214_14000_65_V ,V,14000,65,20,65.210139,22.418393,20.871498,3.477939,0.18235,42.792,1.90E-05,1.517,0.996,0.503,0.318,219.775,65,1.945,36.50131281,38.28766859,,41.87248298,44.37391247,48.02957305,9.762078,9.324328,,7.458045,6.506621,5.939135,0.025423,0.028427,,0.026095,0.024844,0.024623,-0.008836,-0.007837,,-0.007231,-0.006536,-0.006215
195,HC5_TP215_14000_65_H ,H,14000,65,20,65.093258,22.301548,21.333277,3.466131,0.182831,42.792,1.90E-05,1.517,0.997,0.503,0.318,219.775,65,1.945,35.28913147,37.00716178,,40.86312252,43.25182325,46.7280817,10.738547,10.295335,,8.824469,8.586811,9.389042,0.024855,0.027528,,0.026506,0.0261,0.026844,0.001028,-0.002847,,-0.004189,-0.004732,-0.006254
196,HC5_TP216_14000_85_V ,V,14000,85,75,87.732048,75.088373,16.834374,2.728393,0.123653,12.644,1.94E-05,1.561,1.001,0.521,0.321,219.775,65,1.945,14.17763933,14.36493791,,12.86465131,11.40895797,9.13773273,5.806894,5.488583,,4.977423,4.614519,4.997216,0.022742,0.024456,,0.024004,0.023441,0.025021,-0.002709,-0.001292,,-0.000593,-0.000079,0.000366
197,HC5_TP217_14000_85_H ,H,14000,85,75,87.636873,75.472044,22.192228,2.697293,0.126129,12.165,1.95E-05,1.553,1.004,0.521,0.321,219.775,65,1.945,13.13179745,12.96259922,,11.19853815,9.800527275,6.96984103,6.183293,5.566856,,5.713304,6.567951,8.410789,0.023707,0.023346,,0.024008,0.024479,0.026407,0.004008,0.001149,,0.001157,0.000622,0.000206
198,HC5_TP218_14000_65_V ,V,14000,65,50,66.050914,50.643785,25.839033,2.614561,0.157545,15.407,1.92E-05,1.514,0.999,0.519,0.321,219.775,65,1.945,16.3908928,16.88895773,,16.66946217,16.64763225,16.4622984,6.007477,5.698407,,5.122067,4.889069,5.169208,0.019624,0.021408,,0.021075,0.020984,0.022074,-0.0033,-0.002923,,-0.002178,-0.001773,-0.001722
199,HC5_TP219_14000_65_H ,H,14000,65,50,67.248414,51.240057,21.566227,2.667511,0.153499,16.008,1.90E-05,1.52,0.997,0.519,0.321,219.775,65,1.945,16.96208974,17.26732491,,16.80429057,16.56586097,15.91532999,6.739264,6.071116,,5.793656,6.444119,8.293905,0.021699,0.021435,,0.021899,0.022544,0.024234,0.000561,-0.000858,,-0.000498,-0.001037,-0.001599
200,HC5_TP220_14000_130_V ,V,14000,130,100,129.909739,100.132552,20.626928,4.908061,0.129907,29.777,2.07E-05,1.618,1.025,0.511,0.319,219.775,65,1.945,30.28759703,31.25168228,,31.07347486,30.49798979,30.45786309,11.277176,10.707352,,8.470652,7.86486,7.495422,0.040843,0.042526,,0.040085,0.039639,0.04019,-0.006762,-0.005849,,-0.003953,-0.002559,-0.001858
201,HC5_TP221_14000_130_H ,H,14000,130,100,130.069618,100.465087,20.942489,4.902787,0.132678,29.605,2.07E-05,1.618,1.025,0.511,0.319,219.775,65,1.945,30.6483475,31.19009712,,30.29883582,29.70579894,29.01639417,11.889175,10.605814,,8.952315,9.83754,11.571474,0.040466,0.040616,,0.040365,0.041363,0.043407,0.000158,-0.001402,,-0.000654,-0.001377,-0.002938
202,HC5_TP222_14000_35_V ,V,14000,35,25,34.760179,26.43243,26.284304,1.417069,0.163066,8.328,1.86E-05,1.46,0.995,0.523,0.321,219.775,65,1.945,8.851232221,9.263342616,,9.481494271,9.726546406,10.14627184,3.164469,3.085788,,2.780537,2.624994,2.648093,0.009397,0.010697,,0.010747,0.010632,0.011403,-0.002506,-0.001906,,-0.001526,-0.00138,-0.001257
